"Original URL","Slug","Title"
"https://kdm-assoc.com/","home","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/","home","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/page/about-us","page-about-us","About Us | KDM & Associates"
"https://kdm-assoc.com/page/contact-us","page-contact-us","Contact Us | KDM & Associates"
"https://kdm-assoc.com/page/our-work","page-our-work","Our Work | KDM & Associates"
"https://kdm-assoc.com/home/activities/all","home-activities-all","All News | KDM & Associates"
"https://kdm-assoc.com/home/activities/news-blog","home-activities-news-blog","News/Media | KDM & Associates"
"https://kdm-assoc.com/home/activities/what_works","home-activities-what_works","What Works | KDM & Associates"
"https://kdm-assoc.com/home/activities/pr","home-activities-pr","Press Releases | KDM & Associates"
"https://kdm-assoc.com/home/spotlights","home-spotlights","Spotlights | KDM & Associates"
"https://kdm-assoc.com/home/opp_center/all","home-opp_center-all","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/events","events","MBDA FEDERAL PROCUREMENT CENTER	 | KDM & Associates"
"https://kdm-assoc.com/events/all_events/upcomming","events-all_events-upcomming","Upcomming Events	 | KDM & Associates"
"https://kdm-assoc.com/events/all_events/past","events-all_events-past","Past Events	 | KDM & Associates"
"https://kdm-assoc.com/home/opp_center/training_center","home-opp_center-training_center","Training Center | KDM & Associates"
"https://kdm-assoc.com/home/opp_center/resources","home-opp_center-resources","Resource Partners | KDM & Associates"
"https://kdm-assoc.com/home/opp_center/services","home-opp_center-services","Service Partners | KDM & Associates"
"https://kdm-assoc.com/login","login","MBDA Federal Procurement Center Portal"
"https://kdm-assoc.com/events","events","MBDA FEDERAL PROCUREMENT CENTER	 | KDM & Associates"
"https://kdm-assoc.com/home/activities/jobs","home-activities-jobs","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/breaking-barriers-how-emerging-technologies-are-empowering-minority-owned-businesses-in-government-contracting","detail-breaking-barriers-how-emerging-technologies-are-empowering-minority-owned-businesses-in-government-contracting","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/silicon-valley-banks-failure-a-catalyst-for-innovation-in-minority-owned-tech-companies","detail-silicon-valley-banks-failure-a-catalyst-for-innovation-in-minority-owned-tech-companies","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/cyber-security-opportunities-for-minority-business-enterprises-in-government-contracting","detail-cyber-security-opportunities-for-minority-business-enterprises-in-government-contracting","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/the-implications-of-chinas-efforts-to-reduce-the-dominance-of-the-us-dollar-on-minority-owned-businesses-a-comprehensive-analysis","detail-the-implications-of-chinas-efforts-to-reduce-the-dominance-of-the-us-dollar-on-minority-owned-businesses-a-comprehensive-analysis","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/unlocking-opportunities-for-minority-owned-businesses-in-drone-industry-with-dws-drone-school","detail-unlocking-opportunities-for-minority-owned-businesses-in-drone-industry-with-dws-drone-school","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/is-your-business-prepared-for-the-next-cyber-threat","detail-is-your-business-prepared-for-the-next-cyber-threat","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-news-u-can-use-newsletter-april-2023","detail-what-works-news-u-can-use-newsletter-april-2023","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-news-u-can-use-newsletter-march-2023","detail-what-works-news-u-can-use-newsletter-march-2023","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/inclusive-growth-empowering-minority-owned-businesses-to-succeed-in-cybersecurity-and-beyond","detail-inclusive-growth-empowering-minority-owned-businesses-to-succeed-in-cybersecurity-and-beyond","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-tdp-trends-reports","detail-what-works-tdp-trends-reports","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-tdp-generate-ecosystem-maps","detail-what-works-tdp-generate-ecosystem-maps","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-tdp-ml-tool-demo","detail-what-works-tdp-ml-tool-demo","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-tdp-generate-solutions","detail-what-works-tdp-generate-solutions","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-tdp-closing-gaps","detail-what-works-tdp-closing-gaps","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/login","login","MBDA Federal Procurement Center Portal"
"https://kdm-assoc.com/detail/what-works-client-meeting-tips-defense-leadership-forum","detail-what-works-client-meeting-tips-defense-leadership-forum","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/home/news","home-news","Business News & Media | KDM & Associates"
"https://form.jotform.com/220264793584059","220264793584059","MBDA Federal Procurement Client Intake Form"
"https://kdm-assoc.com/page/our-partners","page-our-partners","Our Partners | KDM & Associates"
"https://kdm-assoc.com/home/events","home-events","Events | KDM & Associates"
"https://kdm-assoc.com/page/privacy-policy","page-privacy-policy","Privacy Policy | KDM & Associates"
"https://kdm-assoc.com/page/faq","page-faq","FAQ | KDM & Associates"
"https://kdm-assoc.com/page/term-of-service","page-term-of-service","Term of Service | KDM & Associates"
"https://kdm-assoc.com/team_detail/461/8","team_detail-461-8","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/team_detail/462/8","team_detail-462-8","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/team_detail/537/8","team_detail-537-8","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/team_detail/508/8","team_detail-508-8","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/team_detail/469/8","team_detail-469-8","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/team_detail/470/8","team_detail-470-8","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/team_detail/471/8","team_detail-471-8","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/team_detail/533/8","team_detail-533-8","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/team_detail/472/8","team_detail-472-8","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/team_detail/473/8","team_detail-473-8","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/team_detail/477/8","team_detail-477-8","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/home/activities/newsletter","home-activities-newsletter","Newsletters | KDM & Associates"
"https://kdm-assoc.com/detail/puerto-ricos-agricultural-sector-in-2025-a-strategic-pivot-toward-resilience-and-innovation","detail-puerto-ricos-agricultural-sector-in-2025-a-strategic-pivot-toward-resilience-and-innovation","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/puerto-ricos-strategic-role-federal-opportunities-emerging-from-counter-cartel-operations","detail-puerto-ricos-strategic-role-federal-opportunities-emerging-from-counter-cartel-operations","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/us-manufacturing-environmental-progress-a-new-era-of-innovation-and-sustainability","detail-us-manufacturing-environmental-progress-a-new-era-of-innovation-and-sustainability","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/why-engaging-educating-empowering-stakeholders-is-vital-for-puerto-ricos-energy-environmental-future","detail-why-engaging-educating-empowering-stakeholders-is-vital-for-puerto-ricos-energy-environmental-future","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/puerto-ricos-energy-crossroads-how-leadership-and-the-iaeoz-summit-2025-can-power-a-sustainable-future","detail-puerto-ricos-energy-crossroads-how-leadership-and-the-iaeoz-summit-2025-can-power-a-sustainable-future","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/iaeoz-summit-2024-africa-overview-from-founder-ceo-keith-moore","detail-iaeoz-summit-2024-africa-overview-from-founder-ceo-keith-moore","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://iaeozsummit.com/","home","IAEOZ Summit 2025 Puerto Rico"
"https://kdm-assoc.com/detail/mbda-fpc-podcast-series-kimberly-johnston","detail-mbda-fpc-podcast-series-kimberly-johnston","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/a-legacy-of-transition-resilience-and-what-works","detail-a-legacy-of-transition-resilience-and-what-works","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/mbda-federal-procurement-centers-transition-to-kdm-associates-building-the-future-for-small-and-emerging-federal-contractors","detail-mbda-federal-procurement-centers-transition-to-kdm-associates-building-the-future-for-small-and-emerging-federal-contractors","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-international-womens-month-miranda-bouldin","detail-what-works-international-womens-month-miranda-bouldin","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-is-working-and-what-must-work-better-for-latino-mbes-to-maximize-their-contribution-to-the-gdp-and-the-us-economy","detail-what-is-working-and-what-must-work-better-for-latino-mbes-to-maximize-their-contribution-to-the-gdp-and-the-us-economy","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/home/activities/all/12","home-activities-all-12","All News | KDM & Associates"
"https://kdm-assoc.com/home/activities/all/24","home-activities-all-24","All News | KDM & Associates"
"https://kdm-assoc.com/home/activities/all/96","home-activities-all-96","All News | KDM & Associates"
"https://kdm-assoc.com/detail/american-defense-alliance-and-kdm-associates-collaborate-to-promote-small-business-access-to-governmentdefense-contracting","detail-american-defense-alliance-and-kdm-associates-collaborate-to-promote-small-business-access-to-governmentdefense-contracting","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/innovation-transforms-government-efficiency-into-what-works","detail-innovation-transforms-government-efficiency-into-what-works","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/resiliency-what-works-for-this-small-business-impacted-by-the-california-wildfire","detail-resiliency-what-works-for-this-small-business-impacted-by-the-california-wildfire","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/home/activities/news-blog/12","home-activities-news-blog-12","News/Media | KDM & Associates"
"https://kdm-assoc.com/home/activities/news-blog/24","home-activities-news-blog-24","News/Media | KDM & Associates"
"https://kdm-assoc.com/home/activities/news-blog/60","home-activities-news-blog-60","News/Media | KDM & Associates"
"https://kdm-assoc.com/detail/gaurrav-bhat-founder-and-ceo-of-talin-labs","detail-gaurrav-bhat-founder-and-ceo-of-talin-labs","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/podcast-change-with-franklin-covey-director-dr-christi-phillips","detail-podcast-change-with-franklin-covey-director-dr-christi-phillips","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-news-u-can-use-newsletter-may-2024-1719241095","detail-what-works-news-u-can-use-newsletter-may-2024-1719241095","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-news-u-can-use-newsletter-june-2024","detail-what-works-news-u-can-use-newsletter-june-2024","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-news-u-can-use-newsletter-march-2024","detail-what-works-news-u-can-use-newsletter-march-2024","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/mbda-fpc-womens-history-month-2024-newsletter","detail-mbda-fpc-womens-history-month-2024-newsletter","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-news-u-can-use-newsletter-may-2024","detail-what-works-news-u-can-use-newsletter-may-2024","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-news-u-can-use-newsletter-black-history-month-edition","detail-what-works-news-u-can-use-newsletter-black-history-month-edition","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/what-works-january-newsletter","detail-what-works-january-newsletter","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/detail/video-what-works-for-mbes-in-the-carbon-capture-tax-credits-industry","detail-video-what-works-for-mbes-in-the-carbon-capture-tax-credits-industry","MBDA FEDERAL PROCUREMENT CENTER | KDM & Associates"
"https://kdm-assoc.com/home/activities/what_works/12","home-activities-what_works-12","What Works | KDM & Associates"
"https://kdm-assoc.com/home/activities/what_works/24","home-activities-what_works-24","What Works | KDM & Associates"
"https://kdm-assoc.com/marketing_detail/podcast-with-end-to-end-enterprise-solutions-inc","marketing_detail-podcast-with-end-to-end-enterprise-solutions-inc","MBDA Federal Procurement Center Portal"
"https://kdm-assoc.com/marketing_detail/qme-spotlight-ecosystem-unveils-suites-of-digital-solutions-portal-to-help-drive-business-and-community-growth","marketing_detail-qme-spotlight-ecosystem-unveils-suites-of-digital-solutions-portal-to-help-drive-business-and-community-growth","MBDA Federal Procurement Center Portal"
"https://kdm-assoc.com/home/opp_center/opportunities","home-opp_center-opportunities","Contract Opportunities | KDM & Associates"
"https://kdm-assoc.com/contact-opportunity/z1da-632-15-101-replace-primary-electrical-distro-ph-1","contact-opportunity-z1da-632-15-101-replace-primary-electrical-distro-ph-1","MBDA Federal Procurement Center Portal"
"https://kdm-assoc.com/contact-opportunity/saber-idiq-2025-arnold-afb-tn","contact-opportunity-saber-idiq-2025-arnold-afb-tn","MBDA Federal Procurement Center Portal"
"https://kdm-assoc.com/contact-opportunity/occupational-health-support-services-iii-ohss-iii","contact-opportunity-occupational-health-support-services-iii-ohss-iii","MBDA Federal Procurement Center Portal"
"https://kdm-assoc.com/contact-opportunity/inventory-management-im-and-warehouse-management-wm-support","contact-opportunity-inventory-management-im-and-warehouse-management-wm-support","MBDA Federal Procurement Center Portal"
"https://kdm-assoc.com/contact-opportunity/base-operations-support-bos-services-pittsburgh-ars-pa","contact-opportunity-base-operations-support-bos-services-pittsburgh-ars-pa","MBDA Federal Procurement Center Portal"
"https://kdm-assoc.com/contact-opportunity/logistics-it-integration-and-support-liis-capability-modernization-deployment-and-support-cmds-multiple-award-contract-mac","contact-opportunity-logistics-it-integration-and-support-liis-capability-modernization-deployment-and-support-cmds-multiple-award-contract-mac","MBDA Federal Procurement Center Portal"
"https://kdm-assoc.com/contact-opportunity/business-and-logistics-management-support-services-blmss-pre-rfp","contact-opportunity-business-and-logistics-management-support-services-blmss-pre-rfp","MBDA Federal Procurement Center Portal"
"https://kdm-assoc.com/contact-opportunity/contractor-owned-contractor-operated-coco-retail-fuel-services-in-altus-afb-oklahoma","contact-opportunity-contractor-owned-contractor-operated-coco-retail-fuel-services-in-altus-afb-oklahoma","MBDA Federal Procurement Center Portal"
"https://kdm-assoc.com/contact-opportunity/gps-engineering-analysis-and-remote-site-sustainment-iii-gearss-iii","contact-opportunity-gps-engineering-analysis-and-remote-site-sustainment-iii-gearss-iii","MBDA Federal Procurement Center Portal"
